"folio_recepcion","estado_final_lm","fecha_recepcion","fecha_publicacion"
"2024203121",6,2024-05-27 00:01:00.000,2024-05-28 13:18:34.888
"2024209343",6,2024-05-22 00:01:00.000,2024-05-23 14:20:21.274
"2024490094",3,2024-05-02 08:10:00.000,2024-05-03 19:20:24.528
"2024488072",3,2024-05-03 08:06:00.000,2024-05-06 17:19:04.860
"2024467139",6,2024-05-10 16:32:00.000,2024-05-14 20:18:31.937
"2024485927",6,2024-05-08 16:31:00.000,2024-05-14 20:21:09.605
"2024484544",6,2024-05-07 14:10:00.000,2024-05-14 20:19:09.305
"2024484849",3,2024-05-07 14:14:00.000,2024-05-14 20:19:16.778
"2024493390",6,2024-05-08 13:58:00.000,2024-05-14 20:22:20.790
"2024485675",3,2024-05-08 14:10:00.000,2024-05-14 20:20:47.140
"2024496539",3,2024-05-09 09:16:00.000,2024-05-14 20:23:41.195
"2024484282",6,2024-05-07 00:01:00.000,2024-05-10 23:20:26.883
"2024222760",6,2024-05-22 00:01:00.000,2024-05-28 17:21:25.565
"2024205491",6,2024-05-13 00:01:00.000,2024-05-14 14:16:46.791
"2024208789",6,2024-05-14 00:01:00.000,2024-05-15 15:17:18.721
"2024486436",3,2024-05-02 08:46:00.000,2024-05-03 19:16:26.763
"2024486648",4,2024-05-02 08:46:00.000,2024-05-03 19:17:14.923
"2024486944",3,2024-05-02 08:46:00.000,2024-05-03 19:18:56.778
"2024200822",3,2024-05-16 17:17:00.000,2024-05-20 18:21:36.090
"2024487366",6,2024-05-02 00:01:00.000,2024-05-03 13:16:44.387
"2024487892",6,2024-05-03 08:06:00.000,2024-05-06 17:18:04.506
"2024490200",3,2024-05-02 08:06:00.000,2024-05-03 18:27:17.886
"2024488786",3,2024-05-03 08:32:00.000,2024-05-06 22:21:15.966
"2024467121",6,2024-05-08 17:24:00.000,2024-05-13 13:16:51.454
"2024219576",3,2024-05-28 08:04:00.000,2024-05-30 15:31:20.177
"2024219612",6,2024-05-28 08:04:00.000,2024-05-30 15:31:28.762
"2024218227",6,2024-05-17 00:01:00.000,2024-05-20 14:18:23.694
"2024485279",6,2024-05-07 00:01:00.000,2024-05-08 14:18:32.737
"2024486959",3,2024-05-02 08:54:00.000,2024-05-03 19:19:01.478
"2024228024",6,2024-05-24 00:01:00.000,2024-05-29 20:36:33.868
"2024490346",3,2024-05-02 08:07:00.000,2024-05-03 18:28:28.830
"2024486741",6,2024-05-02 08:54:00.000,2024-05-03 19:18:04.631
"2024490372",3,2024-05-02 08:08:00.000,2024-05-03 18:28:59.732
"2024222653",6,2024-05-22 00:01:00.000,2024-05-23 14:23:19.542
"2024228600",3,2024-05-24 13:39:00.000,2024-05-31 01:21:52.810
"2024490708",3,2024-05-06 08:09:00.000,2024-05-07 19:21:24.930
"2024490246",3,2024-05-02 08:30:00.000,2024-05-03 19:21:39.917
"2024490086",3,2024-05-02 08:10:00.000,2024-05-03 18:26:03.585
"2024490336",3,2024-05-02 08:10:00.000,2024-05-03 18:28:21.301
"2024483241",6,2024-05-06 08:02:00.000,2024-05-07 18:18:30.981
"2024216385",3,2024-05-28 08:14:00.000,2024-05-30 18:32:13.196
"2024496898",3,2024-05-14 17:18:00.000,2024-05-20 18:32:10.586
"2024486974",3,2024-05-02 08:54:00.000,2024-05-03 19:19:19.583
"2024486810",3,2024-05-02 09:09:00.000,2024-05-07 22:26:16.912
"2024488681",3,2024-05-03 08:06:00.000,2024-05-06 17:22:22.206
"2024490266",6,2024-05-02 08:45:00.000,2024-05-03 19:21:46.470
"2024486964",3,2024-05-02 08:51:00.000,2024-05-03 19:19:14.635
"2024483055",3,2024-05-06 08:10:00.000,2024-05-07 21:16:29.179
"2024496266",6,2024-05-09 00:01:00.000,2024-05-16 01:16:43.254
"2024486460",3,2024-05-02 08:47:00.000,2024-05-03 18:16:56.346
"2024486681",3,2024-05-02 08:47:00.000,2024-05-03 18:17:53.221
"2024487249",3,2024-05-02 08:56:00.000,2024-05-07 21:21:04.556
"2024490455",3,2024-05-06 08:17:00.000,2024-05-07 21:23:32.992
"2024227118",6,2024-05-20 00:01:00.000,2024-05-27 14:15:58.029
"2024487659",3,2024-05-03 08:08:00.000,2024-05-06 17:17:12.385
"2024488893",3,2024-05-03 08:08:00.000,2024-05-06 17:23:40.914
"2024486801",3,2024-05-02 08:47:00.000,2024-05-03 18:19:07.424
"2024486899",6,2024-05-02 08:47:00.000,2024-05-03 18:20:14.749
"2024486459",6,2024-05-02 08:51:00.000,2024-05-03 19:16:40.226
